Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1377540,To Hell and Back: An Autobiography,Niki Lauda,"Lauda, Niki",Herbert Völker,"=""009164240X""","=""9780091642402""",0,4.26,Stanley Paul,Hardcover,256,1986,1986,,2020/03/23,"to-read, 2025-tbr","to-read (#207), 2025-tbr (#12)",to-read,,,,0,0
199344846,Knife: Meditations After an Attempted Murder,Salman Rushdie,"Rushdie, Salman",,"=""0593730240""","=""9780593730249""",0,4.00,Random House,Hardcover,209,2024,2024,,2025/07/14,to-read,to-read (#1555),to-read,,,,0,0
20758104,"The Knife of Never Letting Go (Chaos Walking, #1)",Patrick Ness,"Ness, Patrick",,"=""0763676187""","=""9780763676186""",0,3.98,Candlewick Press,Paperback,528,2014,2008,,2025/07/14,,,read,,,,1,0
20758105,"Monsters of Men (Chaos Walking, #3)",Patrick Ness,"Ness, Patrick",,"=""0763676195""","=""9780763676193""",0,4.22,Candlewick,Paperback,643,2014,2010,,2025/07/14,to-read,to-read (#1554),to-read,,,,0,0
20758103,"The Ask and the Answer (Chaos Walking, #2)",Patrick Ness,"Ness, Patrick",,"=""0763676179""","=""9780763676179""",0,4.18,Candlewick,Paperback,553,2014,2009,,2025/07/14,to-read,to-read (#1553),to-read,,,,0,0
203337138,By Any Other Name,Jodi Picoult,"Picoult, Jodi",,"=""0593497228""","=""9780593497227""",0,4.11,Ballantine Books,Kindle Edition,528,2024,2024,,2025/07/14,to-read,to-read (#1552),to-read,,,,0,0
161846,The Midwich Cuckoos,John Wyndham,"Wyndham, John",,"=""0345299116""","=""9780345299116""",0,3.90,Ballantine Books,Mass Market Paperback,220,1958,1957,,2025/07/14,to-read,to-read (#1551),to-read,,,,0,0
200209181,Message Deleted,K.L. Slater,"Slater, K.L.",,"=""140596250X""","=""9781405962506""",0,3.76,Penguin,Kindle Edition,400,2024,,,2025/07/14,to-read,to-read (#1550),to-read,,,,0,0
38618276,"Oaths (Dragon Blood, #8)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.42,,Kindle Edition,350,2018,2017,,2025/07/14,to-read,to-read (#1549),to-read,,,,0,0
28668462,"Shattered Past (Dragon Blood, #7.5)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.38,,Kindle Edition,240,2016,2016,,2025/07/14,to-read,to-read (#1548),to-read,,,,0,0
29658167,"The Fowl Proposal Bonus Scenes (Dragon Blood, #7.1)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.40,,Kindle Edition,44,2016,2016,,2025/07/14,to-read,to-read (#1547),to-read,,,,0,0
27345208,"Soulblade (Dragon Blood, #7)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.45,,Kindle Edition,351,2015,2015,,2025/07/14,to-read,to-read (#1546),to-read,,,,0,0
26123568,"Raptor (Dragon Blood, #6)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.38,,Kindle Edition,366,2015,2015,,2025/07/14,to-read,to-read (#1545),to-read,,,,0,0
26855543,"Under the Ice Blades (Dragon Blood, #5.5)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.32,,Kindle Edition,134,2015,2015,,2025/07/14,to-read,to-read (#1544),to-read,,,,0,0
25526863,"The Blade's Memory (Dragon Blood, #5)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.34,,Kindle Edition,310,2015,2015,,2025/07/14,to-read,to-read (#1543),to-read,,,,0,0
23847600,"Patterns in the Dark (Dragon Blood, #4)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.27,,Kindle Edition,266,2014,2014,,2025/07/14,to-read,to-read (#1542),to-read,,,,0,0
22738511,"Blood Charged (Dragon Blood, #3)",Lindsay Buroker,"Buroker, Lindsay",,"=""""","=""""",0,4.00,,Kindle Edition,290,2014,2014,,2025/07/14,to-read,to-read (#1541),to-read,,,,0,0
22307971,"Deathmaker (Dragon Blood, #2)",Lindsay Buroker,"Buroker, Lindsay",,"=""1311577815""","=""9781311577818""",0,3.94,Smashwords,ebook,241,2014,2014,,2025/07/14,to-read,to-read (#1540),to-read,,,,0,0
21797289,"Balanced on the Blade's Edge (Dragon Blood, #1)",Lindsay Buroker,"Buroker, Lindsay",,"=""1310222371""","=""9781310222375""",0,3.90,Smashwords,ebook,224,2014,2014,,2025/07/14,to-read,to-read (#1539),to-read,,,,0,0
57639993,Max and the Snoodlecock (Max and the Multiverse #2),Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,4.44,Mayhematic Press,Kindle Edition,,2017,,,2025/07/14,to-read,to-read (#1537),to-read,,,,0,0
57640025,Max and the Banjo Ferret (Max and the Multiverse #3),Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,4.32,Mayhematic Press,Kindle Edition,,2018,,,2025/07/14,to-read,to-read (#1538),to-read,,,,0,0
57639951,"Max and the Multiverse (Max and the Multiverse, #1)",Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,3.81,Mayhematic Press,Kindle Edition,197,2017,2017,,2025/07/14,to-read,to-read (#1536),to-read,,,,0,0
52881276,Resolutions,Stephen  Drake,"Drake, Stephen",,"=""""","=""""",0,4.42,Beyond Time - A Next Chapter Imprint,Kindle Edition,468,2019,,,2025/07/14,to-read,to-read (#1535),to-read,,,,0,0
49239671,"Displaced (Displaced, #1)",Stephen  Drake,"Drake, Stephen",,"=""""","=""""",0,4.07,Beyond Time Books - A Next Chapter Imprint,Kindle Edition,381,,,,2025/07/14,to-read,to-read (#1533),to-read,,,,0,0
38446276,Civilization (Displaced #2),Stephen  Drake,"Drake, Stephen",,"=""""","=""""",0,4.44,Beyond Time - A Next Chapter Imprint,Kindle Edition,412,2018,,,2025/07/14,to-read,to-read (#1534),to-read,,,,0,0
148017319,"Max: Public Enemy Number One of the Fourth Dimension (Puki Horpocket Presents #5, Max and the Multiverse #4)",Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,4.47,Mayhematic Press,Kindle Edition,76,2023,,,2025/07/14,to-read,to-read (#1532),to-read,,,,0,0
61364963,Phil: A Maddening Chat with the Smartest Being in the Universe (Puki Horpocket Presents #3),Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,4.08,Mayhematic Press,Kindle Edition,48,2022,,,2025/07/14,to-read,to-read (#1530),to-read,,,,0,0
146243193,Boo: The Greatest Bounty Hunter Ever to Sail the Black (Puki Horpocket Presents #4),Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,4.63,Mayhematic Press,Kindle Edition,63,2023,,,2025/07/14,to-read,to-read (#1531),to-read,,,,0,0
61032941,Nimi: When First Contact Becomes Last Call (Puki Horpocket Presents #2),Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,4.05,Mayhematic Press,Kindle Edition,29,2021,,,2025/07/14,to-read,to-read (#1529),to-read,,,,0,0
61032903,Roy: The Most Chaotic Midlife Crisis in Cosmic History (Puki Horpocket Presents #1),Zachry Wheeler,"Wheeler, Zachry",,"=""""","=""""",0,3.90,Mayhematic Press,Kindle Edition,189,2021,,,2025/07/14,to-read,to-read (#1528),to-read,,,,0,0
231255523,Command Zero (Agent Zero #14),Jack Mars,"Mars, Jack",,"=""""","=""""",0,0.0,,Kindle Edition,,2025,,,2025/07/14,to-read,to-read (#1527),to-read,,,,0,0
231255513,Shadow Zero (Agent Zero #13),Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.67,,Kindle Edition,242,2025,,,2025/07/14,to-read,to-read (#1526),to-read,,,,0,0
53528881,"Vengeance Zero (Agent Zero, #10)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.50,,Kindle Edition,271,2020,2020,,2025/07/14,to-read,to-read (#1525),to-read,,,,0,0
53583520,"Zero Zero (Agent Zero, #11)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.52,,Kindle Edition,261,2021,2021,,2025/07/14,to-read,to-read (#1524),to-read,,,,0,0
56616089,"Absolute Zero (Agent Zero, #12)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.61,,Kindle Edition,252,2021,2021,,2025/07/14,to-read,to-read (#1523),to-read,,,,0,0
48838311,"Decoy Zero (Agent Zero, #8)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.45,,Kindle Edition,250,2020,2020,,2025/07/14,to-read,to-read (#1521),to-read,,,,0,0
53710653,"Chasing Zero (Agent Zero, #9)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.46,,Kindle Edition,272,2020,2020,,2025/07/14,to-read,to-read (#1522),to-read,,,,0,0
51996184,"Assassin Zero (Agent Zero, #7)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.35,,Kindle Edition,272,2019,2019,,2025/07/14,to-read,to-read (#1520),to-read,,,,0,0
50085176,"Recall Zero (Agent Zero, #6)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.40,,Kindle Edition,236,2019,2019,,2025/07/14,to-read,to-read (#1519),to-read,,,,0,0
46160850,"Trapping Zero (Agent Zero, #4)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.40,,Kindle Edition,332,2019,2019,,2025/07/14,to-read,to-read (#1517),to-read,,,,0,0
49603875,"File Zero (Agent Zero, #5)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.47,,Kindle Edition,251,2019,2019,,2025/07/14,to-read,to-read (#1518),to-read,,,,0,0
44776979,"Hunting Zero (Agent Zero, #3)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.35,,Kindle Edition,332,2019,2019,,2025/07/14,to-read,to-read (#1516),to-read,,,,0,0
44776982,"Target Zero (Agent Zero, #2)",Jack Mars,"Mars, Jack",,"=""""","=""""",0,4.32,,Kindle Edition,322,2019,2019,,2025/07/14,to-read,to-read (#1515),to-read,,,,0,0
